postcode,suburb,state,dc,type,lat,lon
200,AUSTRALIAN NATIONAL UNIVERSITY,ACT,AUSTRALIAN NATIONAL UNI LPO,Post Office Boxes                            ,-35.277272,149.117136
221,BARTON,ACT,NULL,LVR                                          ,-35.201372,149.095065
800,DARWIN,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.801028,130.955789
801,DARWIN,NT,DARWIN DELIVERY CENTRE,Post Office Boxes                            ,-12.801028,130.955789
804,PARAP,NT,PARAP,Post Office Boxes                            ,-12.432181,130.84331
810,ALAWA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.378451,130.877014
810,BRINKIN,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.367769,130.869808
810,CASUARINA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.376597,130.850489
810,JINGILI,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.385761,130.873726
810,LEE POINT,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.360865,130.891349
810,MILLNER,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.39087,130.864144
810,MOIL,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.387001,130.879351
810,NAKARA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.369175,130.87899
810,NIGHTCLIFF,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.382572,130.853877
810,RAPID CREEK,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.387231,130.864402
810,TIWI,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.363913,130.87719
810,WAGAMAN,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.379955,130.886362
810,WANGURI,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.37041,130.888433
811,CASUARINA,NT,CASUARINA,Post Office Boxes                            ,-12.376597,130.850489
812,KARAMA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.400091,130.913672
812,LEANYER,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.376727,130.900653
812,MALAK,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.392528,130.904018
812,MARRARA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.396566,130.882733
812,WULAGI,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.384714,130.897765
814,NIGHTCLIFF,NT,NIGHTCLIFF,Post Office Boxes                            ,-12.382572,130.853877
820,BAGOT,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.410444,130.856124
